,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
964,6442.0,0.507,12698.0,978.0,0.326,3002.0,6135.0,,947.0,5426.0,7420.0,0.473,15700.0,3122.0,0.7040000000000001,4437.0,1178.0,1053.0,NBA,41069.0,2068.0,3329.0,18940.0,Dennis Rodman,,2307.0,Career,3257.0,7494.0,,0.504
965,,,,,,,,,,,,,,,,,,,,,,,,Dennis Rodman,,,,,,,
966,5327.0,0.512,10413.0,664.0,0.327,2031.0,4494.0,,774.0,4039.0,5991.0,0.48100000000000004,12444.0,2477.0,0.693,3576.0,856.0,743.0,NBA,30269.0,1687.0,2534.0,15123.0,Dennis Rodman,,1792.0,12 seasons,2401.0,5726.0,CHI,0.508
967,926.0,0.489,1893.0,242.0,0.319,759.0,1348.0,,136.0,1127.0,1168.0,0.44,2652.0,513.0,0.757,678.0,272.0,260.0,NBA,8789.0,318.0,677.0,3091.0,Dennis Rodman,,417.0,4 seasons,697.0,1445.0,POR,0.486
968,189.0,0.48200000000000004,392.0,72.0,0.34,212.0,293.0,,37.0,260.0,261.0,0.43200000000000005,604.0,132.0,0.721,183.0,50.0,50.0,NBA,2011.0,63.0,118.0,726.0,Dennis Rodman,,98.0,1 season,159.0,323.0,HOU,0.49200000000000005
969,213.0,0.546,390.0,0.0,0.0,1.0,56.0,25.0,48.0,169.0,213.0,0.545,391.0,74.0,0.5870000000000001,126.0,77.0,1.0,NBA,1155.0,163.0,166.0,500.0,Chris Mullin,SF,38.0,1986-87,93.0,332.0,DET,0.545
970,393.0,0.568,692.0,5.0,0.294,17.0,110.0,26.0,45.0,397.0,398.0,0.561,709.0,152.0,0.535,284.0,82.0,32.0,NBA,2147.0,318.0,273.0,953.0,Chris Mullin,SF,75.0,1987-88,156.0,715.0,DET,0.565
971,310.0,0.614,505.0,6.0,0.231,26.0,99.0,27.0,76.0,445.0,316.0,0.595,531.0,97.0,0.626,155.0,82.0,8.0,NBA,2208.0,327.0,292.0,735.0,Chris Mullin,SF,55.0,1988-89,126.0,772.0,DET,0.601
972,287.0,0.589,487.0,1.0,0.111,9.0,72.0,28.0,60.0,456.0,288.0,0.581,496.0,142.0,0.654,217.0,82.0,43.0,NBA,2377.0,336.0,276.0,719.0,Chris Mullin,SF,52.0,1989-90,90.0,792.0,DET,0.5820000000000001
973,270.0,0.509,530.0,6.0,0.2,30.0,85.0,29.0,55.0,665.0,276.0,0.493,560.0,111.0,0.631,176.0,82.0,77.0,NBA,2747.0,361.0,281.0,669.0,Chris Mullin,SF,65.0,1990-91,94.0,1026.0,DET,0.498
974,310.0,0.581,534.0,32.0,0.317,101.0,191.0,30.0,70.0,1007.0,342.0,0.539,635.0,84.0,0.6,140.0,82.0,80.0,NBA,3301.0,523.0,248.0,800.0,Chris Mullin,PF,68.0,1991-92,140.0,1530.0,DET,0.564
975,168.0,0.47200000000000003,356.0,15.0,0.205,73.0,102.0,31.0,45.0,765.0,183.0,0.42700000000000005,429.0,87.0,0.534,163.0,62.0,55.0,NBA,2410.0,367.0,201.0,468.0,Chris Mullin,PF,48.0,1992-93,103.0,1132.0,DET,0.444
976,151.0,0.563,268.0,5.0,0.20800000000000002,24.0,184.0,32.0,32.0,914.0,156.0,0.534,292.0,53.0,0.52,102.0,79.0,51.0,NBA,2989.0,453.0,229.0,370.0,Chris Mullin,PF,52.0,1993-94,138.0,1367.0,SAS,0.5429999999999999
977,137.0,0.5760000000000001,238.0,0.0,0.0,2.0,97.0,33.0,23.0,549.0,137.0,0.5710000000000001,240.0,75.0,0.6759999999999999,111.0,49.0,26.0,NBA,1568.0,274.0,159.0,349.0,Chris Mullin,PF,31.0,1994-95,98.0,823.0,SAS,0.5710000000000001
978,143.0,0.516,277.0,3.0,0.111,27.0,160.0,34.0,27.0,596.0,146.0,0.48,304.0,56.0,0.528,106.0,64.0,57.0,NBA,2088.0,356.0,196.0,351.0,Chris Mullin,PF,36.0,1995-96,138.0,952.0,CHI,0.485
979,123.0,0.461,267.0,5.0,0.263,19.0,170.0,35.0,19.0,563.0,128.0,0.44799999999999995,286.0,50.0,0.568,88.0,55.0,54.0,NBA,1947.0,320.0,172.0,311.0,Chris Mullin,PF,32.0,1996-97,111.0,883.0,CHI,0.456
980,151.0,0.44799999999999995,337.0,4.0,0.174,23.0,230.0,36.0,18.0,780.0,155.0,0.431,360.0,61.0,0.55,111.0,80.0,66.0,NBA,2856.0,421.0,238.0,375.0,Chris Mullin,PF,47.0,1997-98,147.0,1201.0,CHI,0.436
981,16.0,0.364,44.0,0.0,0.0,2.0,30.0,37.0,12.0,196.0,16.0,0.348,46.0,17.0,0.436,39.0,23.0,11.0,NBA,657.0,62.0,71.0,49.0,Chris Mullin,PF,10.0,1998-99,31.0,258.0,LAL,0.348
982,12.0,0.4,30.0,0.0,0.0,1.0,14.0,38.0,1.0,123.0,12.0,0.387,31.0,10.0,0.7140000000000001,14.0,12.0,12.0,NBA,389.0,48.0,41.0,34.0,Chris Mullin,PF,2.0,1999-00,19.0,171.0,DAL,0.387
983,2684.0,0.542,4955.0,82.0,0.231,355.0,1600.0,,531.0,7625.0,2766.0,0.521,5310.0,1069.0,0.584,1832.0,911.0,573.0,NBA,28839.0,4329.0,2843.0,6683.0,Chris Mullin,,611.0,Career,1484.0,11954.0,,0.529
984,,,,,,,,,,,,,,,,,,,,,,,,Chris Mullin,,,,,,,
985,1951.0,0.5579999999999999,3494.0,65.0,0.253,257.0,715.0,,399.0,3904.0,2016.0,0.537,3751.0,747.0,0.5920000000000001,1261.0,549.0,296.0,NBA,16345.0,2395.0,1737.0,4844.0,Chris Mullin,,401.0,7 seasons,802.0,6299.0,DET,0.546
986,417.0,0.473,881.0,12.0,0.174,69.0,560.0,,64.0,1939.0,429.0,0.452,950.0,167.0,0.5479999999999999,305.0,199.0,177.0,NBA,6891.0,1097.0,606.0,1037.0,Chris Mullin,,115.0,3 seasons,396.0,3036.0,CHI,0.45799999999999996
987,288.0,0.569,506.0,5.0,0.192,26.0,281.0,,55.0,1463.0,293.0,0.551,532.0,128.0,0.601,213.0,128.0,77.0,NBA,4557.0,727.0,388.0,719.0,Chris Mullin,,83.0,2 seasons,236.0,2190.0,SAS,0.555
988,16.0,0.364,44.0,0.0,0.0,2.0,30.0,,12.0,196.0,16.0,0.348,46.0,17.0,0.436,39.0,23.0,11.0,NBA,657.0,62.0,71.0,49.0,Chris Mullin,,10.0,1 season,31.0,258.0,LAL,0.348
989,12.0,0.4,30.0,0.0,0.0,1.0,14.0,,1.0,123.0,12.0,0.387,31.0,10.0,0.7140000000000001,14.0,12.0,12.0,NBA,389.0,48.0,41.0,34.0,Chris Mullin,,2.0,1 season,19.0,171.0,DAL,0.387
990,282.0,0.47600000000000003,593.0,5.0,0.185,27.0,105.0,22.0,23.0,73.0,287.0,0.46299999999999997,620.0,189.0,0.8959999999999999,211.0,55.0,30.0,NBA,1391.0,42.0,130.0,768.0,Arvydas Sabonis,SG,70.0,1985-86,75.0,115.0,GSW,0.467
991,458.0,0.529,865.0,19.0,0.302,63.0,261.0,23.0,36.0,142.0,477.0,0.514,928.0,269.0,0.825,326.0,82.0,82.0,NBA,2377.0,39.0,217.0,1242.0,Arvydas Sabonis,SG,98.0,1986-87,154.0,181.0,GSW,0.524
992,436.0,0.526,829.0,34.0,0.35100000000000003,97.0,290.0,24.0,32.0,147.0,470.0,0.508,926.0,239.0,0.885,270.0,60.0,55.0,NBA,2033.0,58.0,136.0,1213.0,Arvydas Sabonis,SF,113.0,1987-88,156.0,205.0,GSW,0.526
993,807.0,0.527,1530.0,23.0,0.23,100.0,415.0,25.0,39.0,331.0,830.0,0.509,1630.0,493.0,0.892,553.0,82.0,82.0,NBA,3093.0,152.0,178.0,2176.0,Arvydas Sabonis,SF,176.0,1988-89,296.0,483.0,GSW,0.516
994,595.0,0.573,1038.0,87.0,0.37200000000000005,234.0,319.0,26.0,45.0,333.0,682.0,0.536,1272.0,505.0,0.889,568.0,78.0,78.0,NBA,2830.0,130.0,142.0,1956.0,Arvydas Sabonis,SF,123.0,1989-90,239.0,463.0,GSW,0.57
995,737.0,0.56,1316.0,40.0,0.301,133.0,329.0,27.0,63.0,302.0,777.0,0.536,1449.0,513.0,0.884,580.0,82.0,82.0,NBA,3315.0,141.0,176.0,2107.0,Arvydas Sabonis,SF,173.0,1990-91,245.0,443.0,GSW,0.55
996,766.0,0.544,1409.0,64.0,0.366,175.0,286.0,28.0,62.0,323.0,830.0,0.524,1584.0,350.0,0.833,420.0,81.0,81.0,NBA,3346.0,127.0,171.0,2074.0,Arvydas Sabonis,SF,173.0,1991-92,202.0,450.0,GSW,0.544
997,414.0,0.519,797.0,60.0,0.451,133.0,166.0,29.0,41.0,190.0,474.0,0.51,930.0,183.0,0.81,226.0,46.0,46.0,NBA,1902.0,42.0,76.0,1191.0,Arvydas Sabonis,SF,68.0,1992-93,139.0,232.0,GSW,0.542
998,355.0,0.494,718.0,55.0,0.364,151.0,315.0,30.0,53.0,281.0,410.0,0.47200000000000003,869.0,165.0,0.753,219.0,62.0,39.0,NBA,2324.0,64.0,114.0,1040.0,Arvydas Sabonis,SF,107.0,1993-94,178.0,345.0,GSW,0.503
999,128.0,0.502,255.0,42.0,0.452,93.0,125.0,31.0,19.0,90.0,170.0,0.489,348.0,94.0,0.879,107.0,25.0,23.0,NBA,890.0,25.0,53.0,476.0,Arvydas Sabonis,SF,38.0,1994-95,93.0,115.0,GSW,0.5489999999999999
1000,210.0,0.54,389.0,59.0,0.39299999999999996,150.0,194.0,32.0,32.0,115.0,269.0,0.499,539.0,137.0,0.856,160.0,55.0,19.0,NBA,1617.0,44.0,127.0,734.0,Arvydas Sabonis,SF,75.0,1995-96,122.0,159.0,GSW,0.5539999999999999
1001,355.0,0.602,590.0,83.0,0.41100000000000003,202.0,322.0,33.0,33.0,242.0,438.0,0.5529999999999999,792.0,184.0,0.8640000000000001,213.0,79.0,63.0,NBA,2733.0,75.0,155.0,1143.0,Arvydas Sabonis,SF,130.0,1996-97,192.0,317.0,GSW,0.605
1002,226.0,0.503,449.0,107.0,0.44,243.0,186.0,34.0,39.0,211.0,333.0,0.48100000000000004,692.0,154.0,0.9390000000000001,164.0,82.0,82.0,NBA,2177.0,38.0,186.0,927.0,Arvydas Sabonis,SF,95.0,1997-98,117.0,249.0,IND,0.5589999999999999
1003,104.0,0.486,214.0,73.0,0.465,157.0,81.0,35.0,13.0,135.0,177.0,0.47700000000000004,371.0,80.0,0.87,92.0,50.0,50.0,NBA,1179.0,25.0,101.0,507.0,Arvydas Sabonis,SF,47.0,1998-99,60.0,160.0,IND,0.575
1004,35.0,0.455,77.0,45.0,0.409,110.0,37.0,36.0,9.0,62.0,80.0,0.428,187.0,37.0,0.902,41.0,47.0,2.0,NBA,582.0,14.0,60.0,242.0,Arvydas Sabonis,SG,28.0,1999-00,28.0,76.0,IND,0.5479999999999999
1005,17.0,0.315,54.0,19.0,0.365,52.0,19.0,37.0,10.0,31.0,36.0,0.34,106.0,24.0,0.857,28.0,20.0,8.0,NBA,374.0,10.0,28.0,115.0,Arvydas Sabonis,SF,16.0,2000-01,19.0,41.0,GSW,0.429
1006,5925.0,0.5329999999999999,11123.0,815.0,0.384,2120.0,3450.0,,549.0,3008.0,6740.0,0.509,13243.0,3616.0,0.865,4178.0,986.0,822.0,NBA,32163.0,1026.0,2050.0,17911.0,Arvydas Sabonis,,1530.0,Career,2315.0,4034.0,,0.54
1007,,,,,,,,,,,,,,,,,,,,,,,,Arvydas Sabonis,,,,,,,
1008,5560.0,0.535,10383.0,590.0,0.366,1610.0,3146.0,,488.0,2600.0,6150.0,0.513,11993.0,3345.0,0.862,3881.0,807.0,688.0,NBA,28225.0,949.0,1703.0,16235.0,Arvydas Sabonis,,1360.0,13 seasons,2110.0,3549.0,GSW,0.537
1009,365.0,0.493,740.0,225.0,0.441,510.0,304.0,,61.0,408.0,590.0,0.47200000000000003,1250.0,271.0,0.912,297.0,179.0,134.0,NBA,3938.0,77.0,347.0,1676.0,Arvydas Sabonis,,170.0,3 seasons,205.0,485.0,IND,0.562
1010,355.0,0.574,619.0,39.0,0.375,104.0,130.0,31.0,78.0,441.0,394.0,0.545,723.0,231.0,0.757,305.0,73.0,21.0,NBA,1735.0,147.0,211.0,1058.0,Artis Gilmore,C,64.0,1995-96,154.0,588.0,POR,0.5720000000000001
1011,279.0,0.53,526.0,49.0,0.371,132.0,146.0,32.0,84.0,433.0,328.0,0.498,658.0,223.0,0.777,287.0,69.0,68.0,NBA,1762.0,114.0,203.0,928.0,Artis Gilmore,C,63.0,1996-97,151.0,547.0,POR,0.536
1012,377.0,0.53,711.0,30.0,0.261,115.0,218.0,33.0,80.0,580.0,407.0,0.493,826.0,323.0,0.7979999999999999,405.0,73.0,73.0,NBA,2333.0,149.0,267.0,1167.0,Artis Gilmore,C,65.0,1997-98,190.0,729.0,POR,0.511
1013,225.0,0.496,454.0,7.0,0.292,24.0,119.0,34.0,63.0,305.0,232.0,0.485,478.0,135.0,0.7709999999999999,175.0,50.0,48.0,NBA,1349.0,88.0,147.0,606.0,Artis Gilmore,C,34.0,1998-99,85.0,393.0,POR,0.493
1014,295.0,0.509,579.0,7.0,0.368,19.0,118.0,35.0,78.0,416.0,302.0,0.505,598.0,167.0,0.843,198.0,66.0,61.0,NBA,1688.0,97.0,184.0,778.0,Artis Gilmore,C,43.0,1999-00,97.0,513.0,POR,0.511
