,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
725,864,0.555,1558,0,0,13,368,33,48,616,864,0.55,1571,521,0.755,690,82,82,NBA,2998,193,217,2249,Ubiratan Pereira Maciel,PF,113,1996-97,233,809,UTA,0.55
726,778,0.531,1466,2,0.333,6,316,34,70,645,780,0.53,1472,628,0.761,825,81,81,NBA,3030,189,237,2190,Ubiratan Pereira Maciel,PF,96,1997-98,247,834,UTA,0.531
727,393,0.494,796,0,0,1,201,35,28,356,393,0.493,797,378,0.788,480,49,49,NBA,1832,107,134,1164,Ubiratan Pereira Maciel,PF,62,1998-99,162,463,UTA,0.493
728,750,0.511,1468,2,0.25,8,304,36,71,610,752,0.509,1476,589,0.797,739,82,82,NBA,2947,169,229,2095,Ubiratan Pereira Maciel,PF,79,1999-00,231,779,UTA,0.51
729,668,0.499,1340,2,0.4,5,361,37,62,555,670,0.498,1345,536,0.793,676,81,81,NBA,2895,114,216,1878,Ubiratan Pereira Maciel,PF,93,2000-01,244,669,UTA,0.499
730,626,0.456,1374,9,0.36,25,341,38,59,544,635,0.454,1399,509,0.797,639,80,80,NBA,3040,142,229,1788,Ubiratan Pereira Maciel,PF,152,2001-02,263,686,UTA,0.457
731,592,0.464,1275,3,0.214,14,379,39,31,515,595,0.462,1289,474,0.763,621,81,81,NBA,2936,113,204,1667,Ubiratan Pereira Maciel,PF,136,2002-03,210,628,UTA,0.463
732,193,0.484,399,0,0,1,163,40,20,306,193,0.483,400,168,0.747,225,42,42,NBA,1373,61,116,554,Ubiratan Pereira Maciel,PF,50,2003-04,103,367,LAL,0.483
733,13443,0.519,25900,85,0.274,310,5248,,1145,11406,13528,0.516,26210,9787,0.742,13188,1476,1471,NBA,54852,3562,4578,36928,Ubiratan Pereira Maciel,,2085,Career,4524,14968,,0.518
734,,,,,,,,,,,,,,,,,,,,,,,,Ubiratan Pereira Maciel,,,,,,,
735,13250,0.52,25501,85,0.275,309,5085,,1125,11100,13335,0.517,25810,9619,0.742,12963,1434,1429,NBA,53479,3501,4462,36374,Ubiratan Pereira Maciel,,2035,18 seasons,4421,14601,UTA,0.518
736,193,0.484,399,0,0,1,163,,20,306,193,0.483,400,168,0.747,225,42,42,NBA,1373,61,116,554,Ubiratan Pereira Maciel,,50,1 season,103,367,LAL,0.483
737,986,0.496,1987,0,0,11,190,20,,1104,986,0.493,1998,547,0.776,705,84,,ABA,3808,533,221,2519,John Isaacs,PF,,1969-70,253,1637,DNR,0.493
738,260,0.449,579,,,,48,21,,,260,0.449,579,160,0.734,218,33,,NBA,1162,,84,680,John Isaacs,PF,,1970-71,,396,SEA,0.449
739,717,0.461,1557,,,,148,22,,,717,0.461,1557,480,0.819,586,73,,NBA,3167,,208,1914,John Isaacs,PF,,1971-72,,926,SEA,0.461
740,889,0.476,1868,,,,196,23,,,889,0.476,1868,473,0.839,564,77,,NBA,3259,,213,2251,John Isaacs,PF,,1972-73,,995,SEA,0.476
